operator_name,total_cap_mw,num_states,sector_name,avg_capacity_factor_2024,capacity_factor_trend,market_share_pct
Gordon Butte Wind LLC,9.0,1,NAICS-22 Non-Cogen,0.9202464076097956,-0.056795183161303386,0.007243118399723448
Kodiak Electric Assn Inc,9.0,1,Electric Utility,0.3305884436348917,0.018379376644403922,0.007243118399723448
"Cycle Holdings, LLC",9.0,1,NAICS-22 Non-Cogen,0.001366120218579235,,0.007243118399723448
"Pisgah Mountain, LLC",9.0,1,NAICS-22 Non-Cogen,0.3195582877959927,-0.0626517911353977,0.007243118399723448
Foundation CA Fund VI Manager LLC,8.7,1,NAICS-22 Non-Cogen,0.12899341131602915,-0.017860361642380085,0.0070016811197326665
Southern Minnesota Mun P Agny,8.5,1,Electric Utility,0.32758324894595386,-0.0042857112529243735,0.006840722933072146
"Agriwind Holdings, LLC",8.4,1,NAICS-22 Non-Cogen,0.1720525414172955,,0.006760243839741885
"Greenback Energy, LLC (Longroad)",8.25,1,NAICS-22 Non-Cogen,0.06782303913451454,,0.006639525199746495
"Huerfano River Wind, LLC",8.0,1,NAICS-22 Non-Cogen,0.18166552823315119,-0.03953210382513661,0.0064383274664208436
City of Lamar - (CO),7.5,1,Electric Utility,0.19060412871888283,-0.010245901639344246,0.006035931999769539
"American Mun Power-Ohio, Inc",7.2,1,Electric Utility,0.05673193685488767,-0.08966745092086623,0.005794494719778758
"Perennial Wind, LLC",6.9,1,NAICS-22 Non-Cogen,0.49351917847997673,-0.07823843087563687,0.005553057439787977
"Creston Ridge II, LLC",6.9,1,NAICS-22 Non-Cogen,0.47629418441962984,-0.04776471054090442,0.005553057439787977
"Creston Ridge, LLC",6.8,1,NAICS-22 Non-Cogen,0.40752571520411446,-0.07553841208614592,0.005472578346457716
"Foundation CA Fund V Manager, LLC",6.2,1,NAICS-22 Non-Cogen,0.5011894258500303,-0.03479218844869458,0.004989703786476153
RENEW Energy Inc,6.0,1,Commercial NAICS Non-Cogen,0.11130085003035822,-0.07163276664642787,0.004828745599815632
Wind Colebrook South,5.7,1,NAICS-22 Non-Cogen,0.20871281117182755,-0.034632345892052524,0.00458730831982485
Brewster,5.7,1,NAICS-22 Non-Cogen,0.0811083948486882,0.03249528648579555,0.00458730831982485
Wind Wall 1 LLC,5.58,1,NAICS-22 Non-Cogen,3.446187177497894,3.446187177497894,0.004490733407828538
City of Worthington - (MN),5.5,1,Electric Utility,0.1834119887398576,-0.04023845007451565,0.004426350133164329
GL Wind LLC,5.0,1,NAICS-22 Non-Cogen,0.1478825136612022,-0.07884790528233149,0.004023954666513027
Loess Hills Wind Farm LLC,5.0,1,NAICS-22 Non-Cogen,0.14596994535519126,0.002506830601092913,0.004023954666513027
Cashton Greens Wind Farm LLC,5.0,1,NAICS-22 Non-Cogen,0.24419398907103826,-0.012454462659380688,0.004023954666513027
"Rock County Wind Fuel, LLC",5.0,1,NAICS-22 Non-Cogen,0.46193078324225867,0.19439890710382518,0.004023954666513027
Narragansett Bay Commission,4.5,1,Commercial NAICS Non-Cogen,0.1479204614450516,-0.038479052823315124,0.003621559199861724
